City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
georgetown,MY,5.4112,100.3354,81.95,87.0,20.0,2.3,few clouds
coquimbo,CL,-29.9533,-71.3436,67.73,68.0,0.0,16.11,clear sky
tuatapere,NZ,-46.1333,167.6833,51.82,84.0,77.0,1.77,broken clouds
jiayuguan,CN,39.8167,98.3,20.89,51.0,6.0,1.05,clear sky
mataura,NZ,-46.1927,168.8643,51.48,88.0,73.0,2.01,broken clouds
san pedro,PH,14.35,121.0167,78.35,82.0,20.0,3.44,few clouds
barrow,US,71.2906,-156.7887,-2.18,65.0,100.0,6.91,overcast clouds
siniscola,IT,40.5719,9.6922,49.55,73.0,0.0,0.34,clear sky
kapaa,US,22.0752,-159.319,70.12,85.0,100.0,4.61,heavy intensity rain
albany,US,42.6001,-73.9662,29.62,56.0,100.0,1.01,overcast clouds
kokrajhar,IN,26.399,90.2718,64.42,56.0,99.0,6.6,overcast clouds
ushuaia,AR,-54.8,-68.3,56.86,62.0,40.0,6.91,scattered clouds
menongue,AO,-14.6585,17.691,73.13,54.0,55.0,7.27,broken clouds
castro,BR,-24.7911,-50.0119,86.99,41.0,0.0,4.79,clear sky
thompson,CA,55.7435,-97.8558,-12.84,70.0,75.0,9.22,broken clouds
saint anthony,US,45.0205,-93.218,2.34,72.0,0.0,1.01,clear sky
bay roberts,CA,47.5999,-53.2648,30.51,89.0,100.0,7.0,overcast clouds
roald,NO,62.5833,6.1333,47.34,76.0,75.0,28.77,broken clouds
east london,ZA,-33.0153,27.9116,76.14,73.0,0.0,18.41,clear sky
olafsvik,IS,64.8945,-23.7142,27.05,58.0,100.0,28.01,overcast clouds
khasan,RU,42.4308,130.6434,19.38,53.0,0.0,9.91,clear sky
pevek,RU,69.7008,170.3133,-15.41,97.0,100.0,17.65,overcast clouds
dikson,RU,73.5069,80.5464,-13.36,100.0,99.0,12.15,overcast clouds
saint-philippe,RE,-21.3585,55.7679,81.99,82.0,83.0,11.21,broken clouds
broome,US,42.2506,-75.833,29.7,66.0,100.0,5.01,overcast clouds
bowen,AU,-20.0167,148.2333,70.02,76.0,84.0,10.11,broken clouds
hithadhoo,MV,-0.6,73.0833,82.35,71.0,72.0,16.4,broken clouds
mar del plata,AR,-38.0023,-57.5575,86.02,50.0,75.0,15.01,broken clouds
nuuk,GL,64.1835,-51.7216,19.44,83.0,100.0,9.84,overcast clouds
melo,UY,-32.3667,-54.1833,103.93,24.0,32.0,11.65,scattered clouds
port macquarie,AU,-31.4333,152.9167,64.89,88.0,79.0,7.05,broken clouds
chicama,PE,-7.8447,-79.1469,66.74,58.0,15.0,10.38,few clouds
aswan,EG,24.0934,32.907,58.89,26.0,0.0,11.01,clear sky
bengkulu,ID,-3.8004,102.2655,76.39,89.0,92.0,3.74,overcast clouds
norman wells,CA,65.282,-126.8329,3.24,72.0,100.0,13.8,light snow
pitimbu,BR,-7.4706,-34.8086,88.39,59.0,44.0,9.91,scattered clouds
vao,NC,-22.6667,167.4833,76.68,75.0,51.0,11.16,broken clouds
butaritari,KI,3.0707,172.7902,81.86,80.0,86.0,17.78,light rain
yellowknife,CA,62.456,-114.3525,-19.59,90.0,20.0,6.91,few clouds
saint-leu,RE,-21.15,55.2833,81.46,83.0,64.0,11.21,light rain
cape town,ZA,-33.9258,18.4232,78.28,75.0,75.0,1.01,broken clouds
vostok,RU,46.4856,135.8833,-15.14,99.0,99.0,4.23,overcast clouds
harper,LR,4.375,-7.7169,83.17,69.0,5.0,12.62,clear sky
chapais,CA,49.7834,-74.8492,-7.82,86.0,100.0,10.33,overcast clouds
port said,EG,31.2565,32.2841,51.78,82.0,40.0,6.91,scattered clouds
port blair,IN,11.6667,92.75,73.44,94.0,40.0,2.3,mist
srednekolymsk,RU,67.45,153.6833,-37.59,99.0,100.0,6.96,overcast clouds
arraial do cabo,BR,-22.9661,-42.0278,87.76,61.0,0.0,24.16,clear sky
busselton,AU,-33.65,115.3333,65.08,75.0,44.0,15.52,scattered clouds
qaanaaq,GL,77.484,-69.3632,-5.91,69.0,100.0,4.88,overcast clouds
sept-iles,CA,50.2001,-66.3821,15.06,83.0,100.0,4.61,overcast clouds
ahar,IR,38.4774,47.0699,14.0,71.0,0.0,9.93,clear sky
omsukchan,RU,62.5333,155.8,-36.72,100.0,43.0,5.28,scattered clouds
turukhansk,RU,65.8167,87.9833,5.7,97.0,100.0,7.7,overcast clouds
nanortalik,GL,60.1432,-45.2371,22.86,82.0,97.0,4.79,overcast clouds
jamestown,US,42.097,-79.2353,25.92,64.0,100.0,5.99,mist
vaini,TO,-21.2,-175.2,75.36,94.0,20.0,4.61,few clouds
jipijapa,EC,-1.3333,-80.5833,78.3,65.0,79.0,1.19,light rain
eureka,US,40.8021,-124.1637,52.41,80.0,0.0,6.73,clear sky
mashhad,IR,36.297,59.6062,33.94,55.0,0.0,4.61,clear sky
whitehorse,CA,60.7161,-135.0538,32.77,64.0,20.0,12.66,few clouds
new norfolk,AU,-42.7826,147.0587,61.72,71.0,98.0,2.53,overcast clouds
esperance,AU,-33.8667,121.9,65.12,76.0,13.0,8.32,few clouds
hilo,US,19.7297,-155.09,69.53,88.0,75.0,5.75,moderate rain
katsuura,JP,35.1333,140.3,43.11,92.0,100.0,7.16,heavy intensity rain
punta arenas,CL,-53.15,-70.9167,57.31,54.0,75.0,26.46,broken clouds
narnaul,IN,28.0444,76.1083,52.61,60.0,33.0,5.37,scattered clouds
nikolskoye,RU,59.7035,30.7861,24.87,94.0,99.0,7.36,light snow
harrisonville,US,38.6533,-94.3488,43.2,66.0,40.0,12.66,scattered clouds
tuktoyaktuk,CA,69.4541,-133.0374,1.4,85.0,100.0,16.11,light snow
tasiilaq,GL,65.6145,-37.6368,15.96,46.0,5.0,23.87,clear sky
carnarvon,AU,-24.8667,113.6333,82.47,57.0,7.0,21.85,clear sky
cururupu,BR,-1.8283,-44.8683,85.37,66.0,29.0,5.86,scattered clouds
inuvik,CA,68.3499,-133.7218,2.16,82.0,75.0,2.3,broken clouds
tilichiki,RU,60.4667,166.1,-21.32,86.0,33.0,7.63,scattered clouds
hasaki,JP,35.7333,140.8333,39.6,90.0,100.0,10.49,overcast clouds
ranghulu,CN,46.65,124.8667,-8.7,100.0,46.0,2.08,scattered clouds
marsh harbour,BS,26.5412,-77.0636,71.4,76.0,95.0,7.83,overcast clouds
rafai,CF,4.95,23.9167,81.27,26.0,38.0,2.44,scattered clouds
lubango,AO,-14.9172,13.4925,63.61,79.0,99.0,5.1,light rain
san patricio,US,28.017,-97.5169,57.29,39.0,100.0,7.09,overcast clouds
almazar,UZ,40.3217,69.0106,33.51,67.0,51.0,4.65,broken clouds
tiksi,RU,71.6872,128.8694,-7.31,98.0,100.0,5.66,overcast clouds
rikitea,PF,-23.1203,-134.9692,78.33,75.0,100.0,14.29,overcast clouds
kalakamati,BW,-20.5929,27.3121,69.03,55.0,84.0,10.87,broken clouds
aripuana,BR,-9.1667,-60.6333,80.83,73.0,99.0,2.59,overcast clouds
oum hadjer,TD,13.2954,19.6966,81.52,13.0,4.0,8.23,clear sky
gari,RU,59.4307,62.3497,6.82,97.0,93.0,4.0,overcast clouds
fonyod,HU,46.7555,17.5795,34.95,76.0,100.0,12.15,overcast clouds
bredasdorp,ZA,-34.5322,20.0403,79.92,61.0,34.0,10.36,scattered clouds
puerto ayora,EC,-0.7393,-90.3518,80.56,79.0,95.0,10.02,overcast clouds
pisco,PE,-13.7,-76.2167,76.01,78.0,0.0,10.36,clear sky
nefteyugansk,RU,61.0998,72.6035,8.85,97.0,95.0,3.89,overcast clouds
tianpeng,CN,30.9866,103.9393,46.87,85.0,100.0,6.31,overcast clouds
mount gambier,AU,-37.8333,140.7667,66.11,72.0,96.0,5.75,overcast clouds
hovd,MN,48.0056,91.6419,-1.64,74.0,1.0,5.95,clear sky
mount isa,AU,-20.7333,139.5,74.97,100.0,75.0,4.61,broken clouds
raudeberg,NO,61.9875,5.1352,46.2,83.0,100.0,15.01,overcast clouds
gazanjyk,TM,39.2446,55.5154,39.9,54.0,63.0,15.37,broken clouds
bluff,NZ,-46.6,168.3333,51.8,69.0,90.0,0.74,overcast clouds
saint george,US,37.1041,-113.5841,46.87,52.0,0.0,3.0,clear sky
maldonado,UY,-34.6667,-54.9167,78.19,86.0,100.0,7.05,overcast clouds
touba,CI,8.2833,-7.6833,92.43,9.0,4.0,5.95,clear sky
olinda,BR,-8.0089,-34.8553,85.73,58.0,40.0,6.91,light rain
vysokogornyy,RU,50.1167,139.15,-17.09,100.0,99.0,3.33,overcast clouds
nampula,MZ,-15.1165,39.2666,78.75,78.0,100.0,11.5,light intensity drizzle
masuda,JP,34.6667,131.85,44.33,83.0,100.0,12.75,overcast clouds
ponta do sol,PT,32.6667,-17.1,69.01,76.0,82.0,4.9,broken clouds
avarua,CK,-21.2078,-159.775,80.65,83.0,75.0,19.57,broken clouds
bairiki,KI,1.3292,172.9752,82.4,78.0,20.0,9.22,few clouds
atuona,PF,-9.8,-139.0333,77.94,78.0,18.0,14.32,few clouds
klyuchi,RU,52.2667,79.1667,-8.75,100.0,47.0,2.24,scattered clouds
la ronge,CA,55.1001,-105.2842,-0.15,71.0,100.0,5.75,overcast clouds
andenes,NO,69.3143,16.1194,42.78,87.0,75.0,31.07,light intensity drizzle
kurilsk,RU,45.2333,147.8833,24.15,63.0,71.0,5.68,broken clouds
upernavik,GL,72.7868,-56.1549,-14.73,63.0,43.0,4.9,scattered clouds
yatou,CN,37.15,122.3833,31.32,68.0,23.0,10.2,few clouds
alice springs,AU,-23.7,133.8833,78.35,83.0,19.0,5.75,few clouds
la romana,DO,18.4273,-68.9728,82.13,73.0,75.0,5.75,broken clouds
tevaitoa,PF,-16.7833,-151.5,81.46,68.0,100.0,17.43,overcast clouds
faya,SA,18.3851,42.4509,57.31,59.0,10.0,4.09,clear sky
linjiang,CN,41.8069,126.9078,2.66,96.0,6.0,2.44,clear sky
hermanus,ZA,-34.4187,19.2345,75.02,80.0,4.0,5.39,clear sky
illela,NG,13.7292,5.2975,81.01,8.0,14.0,10.22,few clouds
tahta,EG,26.7693,31.5021,60.91,40.0,0.0,8.55,clear sky
khatanga,RU,71.9667,102.5,-15.32,100.0,94.0,2.57,overcast clouds
dutse,NG,11.7594,9.3392,77.74,14.0,2.0,8.59,clear sky
port alfred,ZA,-33.5906,26.891,76.84,75.0,1.0,31.85,clear sky
evensk,RU,61.95,159.2333,-20.79,80.0,13.0,7.11,few clouds
moree,AU,-29.4667,149.85,66.22,77.0,64.0,10.36,broken clouds
faanui,PF,-16.4833,-151.75,81.19,74.0,100.0,17.16,light rain
fortuna,US,40.5982,-124.1573,52.14,79.0,0.0,6.2,clear sky
sao filipe,CV,14.8961,-24.4956,74.52,74.0,98.0,12.35,overcast clouds
milkovo,RU,54.7167,158.6167,-11.16,96.0,36.0,1.97,scattered clouds
severo-kurilsk,RU,50.6789,156.125,25.23,73.0,91.0,14.18,overcast clouds
terney,RU,45.0503,136.6092,5.99,82.0,3.0,12.37,clear sky
ilulissat,GL,69.2167,-51.1,10.42,40.0,100.0,1.14,overcast clouds
naze,JP,28.3667,129.4833,65.37,89.0,77.0,15.19,broken clouds
ladozhskaya,RU,45.3081,39.935,31.26,99.0,100.0,7.11,heavy snow
katobu,ID,-4.9408,122.5276,76.71,87.0,64.0,2.48,broken clouds
tyumentsevo,RU,53.3224,81.498,-9.31,100.0,76.0,2.59,broken clouds
longyearbyen,SJ,78.2186,15.6401,19.24,63.0,0.0,16.11,clear sky
kruisfontein,ZA,-34.0033,24.7314,81.3,52.0,1.0,6.08,clear sky
vila velha,BR,-20.3297,-40.2925,85.95,62.0,20.0,12.66,few clouds
cajati,BR,-24.7361,-48.1228,96.04,33.0,2.0,4.18,clear sky
palani,IN,10.4667,77.5333,75.02,65.0,91.0,1.36,overcast clouds
bolshaya sosnova,RU,57.6713,54.6029,17.4,91.0,100.0,4.88,snow
lianran,CN,24.9227,102.485,41.54,86.0,5.0,3.2,clear sky
flin flon,CA,54.7682,-101.865,-5.96,71.0,100.0,6.91,overcast clouds
victoria,HK,22.2855,114.1577,69.19,91.0,87.0,4.5,light rain
slyudyanka,RU,51.6594,103.7061,8.44,95.0,100.0,3.18,overcast clouds
emerald,AU,-23.5333,148.1667,75.34,78.0,87.0,10.36,overcast clouds
aksarayskiy,RU,46.7924,48.0119,30.15,79.0,100.0,20.07,overcast clouds
haines junction,CA,60.7522,-137.5108,26.55,68.0,89.0,4.61,overcast clouds
namibe,AO,-15.1961,12.1522,76.05,84.0,99.0,8.93,overcast clouds
matagami,CA,49.7502,-77.6328,-9.29,70.0,100.0,9.22,overcast clouds
cleethorpes,GB,53.5605,-0.0323,41.97,81.0,100.0,9.22,overcast clouds
novoagansk,RU,61.9449,76.6625,-5.04,100.0,98.0,3.56,overcast clouds
margate,GB,51.3813,1.3862,43.3,76.0,99.0,1.99,overcast clouds
richards bay,ZA,-28.783,32.0377,72.59,74.0,20.0,6.08,few clouds
scottsboro,US,34.6723,-86.0341,44.51,45.0,0.0,6.91,clear sky
airai,TL,-8.9266,125.4092,61.29,84.0,100.0,1.9,overcast clouds
diu,IN,20.7141,70.9822,62.1,62.0,5.0,9.95,clear sky
hambantota,LK,6.1241,81.1185,75.79,73.0,97.0,0.83,overcast clouds
nemea,GR,37.8167,22.6667,33.22,45.0,0.0,0.78,clear sky
walvis bay,NA,-22.9575,14.5053,90.55,40.0,84.0,4.61,broken clouds
omaruru,NA,-21.4333,15.9333,87.48,18.0,62.0,5.3,broken clouds
unecha,RU,52.8459,32.6739,10.51,98.0,59.0,7.38,broken clouds
gat,IL,31.61,34.7642,52.39,100.0,82.0,9.66,broken clouds
kemijarvi,FI,66.7131,27.4306,35.83,95.0,100.0,13.33,overcast clouds
cayenne,GF,4.9333,-52.3333,80.64,89.0,100.0,1.01,overcast clouds
leh,IN,34.1667,77.5833,10.44,93.0,100.0,2.57,light snow
constantine,DZ,36.365,6.6147,49.41,53.0,75.0,4.61,broken clouds
touros,BR,-5.1989,-35.4608,88.7,56.0,0.0,10.63,clear sky
zhuhai,CN,22.2769,113.5678,68.92,94.0,40.0,1.14,light rain
krasnoselkup,RU,65.7,82.4667,-9.78,100.0,100.0,6.33,overcast clouds
palencia,ES,42.4167,-4.5,45.1,60.0,0.0,0.63,clear sky
neuquen,AR,-38.9516,-68.0591,84.09,21.0,0.0,5.75,clear sky
wukari,NG,7.85,9.7833,90.3,13.0,54.0,6.33,broken clouds
itarema,BR,-2.9248,-39.9167,87.55,52.0,41.0,16.08,scattered clouds
lebu,CL,-37.6167,-73.65,64.54,70.0,9.0,8.21,clear sky
siljan,NO,59.2884,9.71,33.35,93.0,94.0,4.05,overcast clouds
port elizabeth,ZA,-33.918,25.5701,70.09,78.0,0.0,18.41,clear sky
lagoa,PT,39.05,-27.9833,59.9,58.0,45.0,8.46,scattered clouds
cherskiy,RU,68.75,161.3,-31.94,95.0,100.0,3.89,overcast clouds
cockburn town,TC,21.4612,-71.1419,78.08,74.0,3.0,9.15,clear sky
verkhoyansk,RU,67.5447,133.385,-27.67,100.0,95.0,1.34,overcast clouds
selma,US,36.5708,-119.6121,53.91,42.0,0.0,0.43,clear sky
caucasia,CO,7.9865,-75.1935,86.77,63.0,98.0,4.12,overcast clouds
clyde river,CA,70.4692,-68.5914,-10.97,77.0,100.0,26.46,light snow
sola,VU,-13.8833,167.55,83.97,76.0,87.0,15.99,overcast clouds
poum,NC,-20.2333,164.0167,79.27,74.0,65.0,15.17,broken clouds
makasar,ID,-5.14,119.4221,77.05,100.0,20.0,3.44,few clouds
biak,ID,-0.9131,122.8766,77.32,82.0,95.0,3.76,overcast clouds
sao joao da barra,BR,-21.6403,-41.0511,86.09,75.0,15.0,12.26,few clouds
cleveland,US,41.4995,-81.6954,29.53,86.0,100.0,4.61,mist
saldanha,ZA,-33.0117,17.9442,69.85,93.0,47.0,15.5,scattered clouds
saskylakh,RU,71.9167,114.0833,-5.8,99.0,97.0,5.64,overcast clouds
bathsheba,BB,13.2167,-59.5167,84.81,58.0,20.0,18.41,few clouds
chuy,UY,-33.6971,-53.4616,85.26,65.0,62.0,7.36,heavy intensity rain
shimoda,JP,34.6667,138.95,42.91,94.0,100.0,0.25,moderate rain
svetlogorsk,BY,52.6333,29.7333,12.88,96.0,72.0,6.67,broken clouds
portel,BR,-1.9356,-50.8211,86.4,63.0,72.0,4.0,broken clouds
sargur,IN,11.9833,76.4167,64.98,84.0,4.0,5.5,clear sky
klaksvik,FO,62.2266,-6.589,41.92,95.0,100.0,26.55,overcast clouds
constitucion,CL,-35.3333,-72.4167,70.16,50.0,0.0,18.57,clear sky
hualmay,PE,-11.0964,-77.6139,76.51,73.0,25.0,10.74,scattered clouds
ugoofaaru,MV,5.6667,73.0,82.0,62.0,41.0,13.47,scattered clouds
chokurdakh,RU,70.6333,147.9167,-20.92,100.0,99.0,6.55,overcast clouds
baghdad,IQ,33.3406,44.4009,44.51,49.0,0.0,3.44,clear sky
babaeski,TR,41.4325,27.0931,30.25,52.0,81.0,6.8,broken clouds
torbay,CA,47.6666,-52.7314,29.75,93.0,100.0,20.71,overcast clouds
adrar,MR,20.5022,-10.0711,81.88,12.0,31.0,15.59,scattered clouds
nicoya,CR,10.1483,-85.452,89.15,41.0,11.0,14.92,few clouds
hof,DE,50.3167,11.9167,38.44,90.0,75.0,1.14,broken clouds
cherepovets,RU,59.1333,37.9,10.22,92.0,100.0,0.0,overcast clouds
kavieng,PG,-2.5744,150.7967,82.24,74.0,73.0,3.27,broken clouds
labuhan,ID,-6.8844,112.2051,79.12,86.0,92.0,11.07,heavy intensity rain
port lincoln,AU,-34.7333,135.8667,69.67,92.0,84.0,6.24,broken clouds
alyangula,AU,-13.8483,136.4192,78.67,100.0,100.0,0.0,overcast clouds
coahuayana,MX,18.7333,-103.6833,85.48,37.0,46.0,3.33,scattered clouds
abapo,BO,-18.8333,-63.4667,93.65,31.0,72.0,8.66,broken clouds
marawi,PH,7.9986,124.2928,67.64,98.0,100.0,2.55,overcast clouds
sabha,LY,27.0377,14.4283,54.79,37.0,3.0,8.75,clear sky
komsomolskiy,UZ,40.4272,71.7189,36.32,80.0,75.0,4.61,mist
lata,PT,40.1629,-8.3327,57.61,58.0,0.0,2.46,clear sky
